api_player_id,card_id,player_name,season,club,league,current_pool,goals,assists,minutes,rt,verified_position,confidence,evidence
644,133962,L. Sané,1718,Manchester City,PL,ST,10,15,2422,88,Winger,high,"Pep's LW in the centurion 4-3-3 (Sterling right, Agüero/Jesus CF); 15 assists from the wing"
56,138225,A. Griezmann,2223,Atletico Madrid,LL,ST,15,16,2861,88,ST,medium,"Second striker in Simeone's 5-3-2/4-4-2, dropping very deep to create; SS maps ST, midfield share real"
154,158081,L. Messi,2223,Paris Saint Germain,L1,ST,16,16,2842,88,CAM,medium,"Galtier's free 10/right-forward behind Mbappé and Neymar (3-4-1-2/4-3-3 phases); advanced-creator plurality, wide share"
30433,146827,P. Gómez,1920,Atalanta,SA,ST,7,16,2860,86,CAM,high,"Left of the dual 10s in Gasperini's settled 3-4-2-1; 16 assists creating for Zapata/Muriel"
1485,130837,Bruno Fernandes,2425,Manchester United,PL,ST,8,10,3024,85,CAM,high,"Ten Hag's 10 until Oct, then one of Amorim's dual 10s in 3-4-2-1; the deeper-CM move came in 25/26, not here"
30433,147275,P. Gómez,1819,Atalanta,SA,ST,7,11,2912,85,CAM,medium,"Gasperini trequartista (10-slot in 3-4-1-2/3-4-2-1) with wide-left phases; advanced plurality"
1650,147378,Suso,1819,AC Milan,SA,ST,7,10,3031,85,Winger,high,"Gattuso's fixed RW in the 4-3-3, cutting onto his left; Piątek/Higuaín held CF"
334,147652,S. Verdi,1718,Bologna,SA,ST,10,10,2836,85,Winger,medium,"Bologna's two-footed wide man (L/R) and set-piece taker; wide plurality with AM spells"
203224,151587,F. Wirtz,2425,Bayer Leverkusen,BL,ST,10,12,2354,85,CAM,high,"One of Alonso's dual 10s in the 3-4-2-1 behind Boniface; same role as the title season"
19586,130699,E. Eze,2425,Crystal Palace,PL,ST,8,8,2603,84,CAM,high,"One of Glasner's two 10s (with Sarr) behind Mateta in the 3-4-2-1; cup-winning season"
203224,151938,F. Wirtz,2324,Bayer Leverkusen,BL,ST,11,11,2382,84,CAM,high,"Dual 10 in Alonso's unbeaten 3-4-2-1; hat-trick in the title clincher came from that role"
1938,146235,R. Malinovskyi,2021,Atalanta,SA,ST,8,12,1880,83,CAM,medium,"Left 10 in Gasperini's 3-4-2-1 with deeper-CM spells; advanced plurality in 1880 rotation min"
667,159916,M. Depay,1819,Lyon,L1,ST,10,10,2737,82,ST,medium,"Genesio's (false) 9 for most of 18/19, Traoré/Cornet wide; identical verdict to this card_id in the tier1 delivery"
554,170671,D. Tadić,2223,Ajax,ERE,ST,11,17,2971,82,Winger,medium,"Moved to RW after Antony's August sale (Bergwijn left, Kudus/Brobbey central); captain from the right"
25646,153379,A. Pléa,1920,Borussia Mönchengladbach,BL,ST,10,10,2150,81,ST,medium,"Rose's central striker with Thuram wide-left (matches the Thuram 1920 card evidence); some wide rotation"
