api_player_id,card_id,player_name,season,league_code,current_pool,rt,proposed_position,confidence,hold_reason,evidence,source_batch
629,131490,K. De Bruyne,2324,PL,CAM,80,CAM,medium,"AGREED with current pool at medium confidence , no change",Injury-shortened (1235 min); returned into the same AM slot,batch_01_verified.csv
1485,166778,Bruno Fernandes,1718,PRT,CAM,80,CAM,medium,"AGREED with current pool at medium confidence , no change",Jorge Jesus's Sporting: advanced mid with deeper CM share,batch_01_verified.csv
1485,166382,Bruno Fernandes,1819,PRT,CAM,89,CAM,medium,"AGREED with current pool at medium confidence , no change",8/10 hybrid; frequently in the midfield three,batch_01_verified.csv
172,133173,D. Alli,1920,PL,CAM,80,CAM,medium,"AGREED with current pool at medium confidence , no change",10/second striker under Mourinho's autumn revival,batch_01_verified.csv
9970,163158,Nenê,1011,L1,CAM,85,CAM,medium,"AGREED with current pool at medium confidence , no change","ID=PSG playmaker Nene; squad databases list AM, deployed from the left of Kombouare's attack",batch_01_verified.csv
9970,162793,Nenê,1112,L1,CAM,89,CAM,medium,"AGREED with current pool at medium confidence , no change",46 of 47 apps as starter; French club records: co-top scorer 'en n'etant que milieu de terrain',batch_01_verified.csv
25,153382,M. Reus,1920,BL,CAM,79,CAM,medium,"AGREED with current pool at medium confidence , no change",Captain-10 until Feb injury; some CF spells (bundesliga.com match records),batch_01_verified.csv
18784,132808,J. Maddison,1920,PL,CAM,74,CAM,medium,"AGREED with current pool at medium confidence , no change",Rodgers 4-1-4-1: advanced left-interior playmaker - CAM/CM boundary case,batch_01_verified.csv
37930,172793,A. El Khayati,1617,ERE,CAM,58,CAM,low,"AGREED with current pool at low confidence , no change",Part-season (~689 min) at ADO; playmaker when used - thin sample,batch_01_verified.csv
26728,142558,Francisco Medina Luna,1213,LL,CAM,86,CAM,medium,"AGREED with current pool at medium confidence , no change","BeSoccer career split: mediapunta 85%/LW 15%; Jemez 4-2-3-1 with Trashorras deep, Piti advanced",batch_01_verified.csv
668,160551,N. Fekir,1617,L1,CAM,70,CAM,medium,"AGREED with current pool at medium confidence , no change",Post-ACL season; 10/second striker off Lacazette,batch_01_verified.csv
1695,139786,Santi Cazorla,1920,LL,CAM,86,CAM,medium,"AGREED with current pool at medium confidence , no change",Advanced interior playmaker in Calleja's 4-4-2 - CAM/CM boundary,batch_01_verified.csv
522,153761,T. Müller,1819,BL,CAM,76,CAM,low,"AGREED with current pool at low confidence , no change",Kovac rotation: 10/RW split with James - no clean majority,batch_01_verified.csv
522,152262,T. Müller,2223,BL,CAM,74,CAM,medium,"AGREED with current pool at medium confidence , no change",Reduced minutes (1679); 10/false-9 under Nagelsmann then Tuchel,batch_01_verified.csv
522,151912,T. Müller,2324,BL,CAM,72,CAM,low,"AGREED with current pool at low confidence , no change",Backup 10/RW behind Musiala; 1659 min mostly from bench,batch_01_verified.csv
522,151561,T. Müller,2425,BL,CAM,48,CAM,low,"AGREED with current pool at low confidence , no change",Fringe under Kompany; AM cameos in farewell season (1255 min),batch_01_verified.csv
978,154167,K. Havertz,1718,BL,CAM,65,CAM,medium,"AGREED with current pool at medium confidence , no change",18-year-old used at AM and right mid under Herrlich - narrow AM plurality,batch_01_verified.csv
978,153426,K. Havertz,1920,BL,CAM,80,CAM,medium,"AGREED with current pool at medium confidence , no change",Bosz's AM; CF conversion only post-restart,batch_01_verified.csv
1640,146886,H. Çalhanoğlu,1920,SA,CAM,84,CAM,medium,"AGREED with current pool at medium confidence , no change",LW under Giampaolo and early Pioli; definitive 10 from winter - narrow CAM plurality,batch_01_verified.csv
745,140919,Isco,1617,LL,CAM,84,CAM,medium,"AGREED with current pool at medium confidence , no change",Rotation player until spring 4-3-1-2 with Isco at the tip,batch_01_verified.csv
181812,152889,J. Musiala,2021,BL,CAM,63,CAM,low,"AGREED with current pool at low confidence , no change","870 breakout minutes mostly as sub across AM/wing - thin, no majority role",batch_01_verified.csv
181812,151851,J. Musiala,2324,BL,CAM,79,CAM,medium,"AGREED with current pool at medium confidence , no change","Tuchel insisted on him centrally; only occasional wing (BFW coverage, verified this session); 24 injury-limited apps",batch_01_verified.csv
181812,151525,J. Musiala,2425,BL,CAM,79,CAM,medium,"AGREED with current pool at medium confidence , no change",Kompany's central AM (Olise/Coman wide),batch_01_verified.csv
19220,132839,M. Mount,1920,PL,CAM,79,CAM,low,"AGREED with current pool at low confidence , no change",Lampard rotated him AM/LW/CM - AM plurality narrow,batch_01_verified.csv
1991,183917,S. Kagawa,1819,TR,CAM,58,CAM,low,"AGREED with current pool at low confidence , no change",546 min after Jan loan to Besiktas; 10 when used - thin sample,batch_01_verified.csv
12724,183949,Talisca,1718,TR,CAM,82,CAM,medium,"AGREED with current pool at medium confidence , no change",Besiktas 4-2-3-1: the 10/SS (Quaresma/Babel wide),batch_01_verified.csv
517,154210,J. Rodríguez,1718,BL,CAM,81,CAM,medium,"AGREED with current pool at medium confidence , no change",Heynckes used him 10 and 8 at Bayern,batch_01_verified.csv
162016,151948,X. Simons,2324,BL,CAM,81,CAM,medium,"AGREED with current pool at medium confidence , no change",Left of the two central AMs in Rose's 4-2-2-2; some LW,batch_01_verified.csv
2002,183816,A. Ljajić,1819,TR,CAM,80,CAM,medium,"AGREED with current pool at medium confidence , no change",Besiktas 4-2-3-1 with Ljajic the 10 (11 assists),batch_01_verified.csv
2002,183031,A. Ljajić,2021,TR,CAM,54,CAM,low,"AGREED with current pool at low confidence , no change",1103 fringe minutes; AM when used - thin sample,batch_01_verified.csv
1323,137007,Dani Olmo,2526,LL,CAM,80,CAM,medium,"AGREED with current pool at medium confidence , no change",Flick's 10/left AM when fit; spring half beyond verifiable coverage here,batch_01_verified.csv
20784,159426,F. Honorat,1920,L1,Winger,49,Winger,low,"AGREED with current pool at low confidence , no change",849 fringe minutes at Saint-Etienne; wide when used - thin sample,batch_01_verified.csv
20784,159032,F. Honorat,2021,L1,Winger,75,Winger,medium,"AGREED with current pool at medium confidence , no change",Brest RW after summer move,batch_01_verified.csv
984,153170,J. Brandt,1920,BL,CAM,69,CAM,medium,"AGREED with current pool at medium confidence , no change","Bit-part wide early, then central playmaker/dual-AM in 3-4-2-1 from Nov (bundesliga.com, verified this session); real pivot share",batch_01_verified.csv
984,152401,J. Brandt,2122,BL,CAM,80,CAM,medium,"AGREED with current pool at medium confidence , no change",AM/wing mix under Rose - AM plurality,batch_01_verified.csv
984,152033,J. Brandt,2223,BL,CAM,80,CAM,medium,"AGREED with current pool at medium confidence , no change",Terzic 4-2-3-1: 10/left AM,batch_01_verified.csv
984,151298,J. Brandt,2425,BL,CAM,77,CAM,medium,"AGREED with current pool at medium confidence , no change",10 under Sahin (Aug-Jan); Kovac from Feb,batch_01_verified.csv
206,164874,João Mário,2223,PRT,CAM,80,CAM,medium,"AGREED with current pool at medium confidence , no change",ID=the Benfica midfielder (not the full-back): right AM/10 under Schmidt; penalties inflate goal count,batch_01_verified.csv
18906,133465,Ayoze Pérez,1819,PL,CAM,79,CAM,medium,"AGREED with current pool at medium confidence , no change",Benitez 4-4-1-1: second striker/10 off Rondon,batch_02_verified.csv
47461,140699,E. Bardhi,1718,LL,CAM,79,CAM,low,"AGREED with current pool at low confidence , no change","Levante: attacking mid/left-sided free-kick taker - AM/LM split, thin data",batch_02_verified.csv
47461,139404,E. Bardhi,2021,LL,CAM,49,CAM,low,"AGREED with current pool at low confidence , no change",Paco Lopez rotation across AM/CM - thin,batch_02_verified.csv
1646,158654,Lucas Paquetá,2122,L1,CAM,79,CAM,medium,"AGREED with current pool at medium confidence , no change",Bosz's Lyon: 10/left attacking mid,batch_02_verified.csv
547,172490,D. van de Beek,1718,ERE,CAM,77,CAM,medium,"AGREED with current pool at medium confidence , no change",Ajax's advanced mid/box-crasher - CAM/CM boundary,batch_02_verified.csv
547,172127,D. van de Beek,1819,ERE,CAM,78,CAM,medium,"AGREED with current pool at medium confidence , no change","Advanced 8 (Schone holding, De Jong left) in the CL-semi season",batch_02_verified.csv
36905,170986,G. Til,2122,ERE,CAM,77,CAM,medium,"AGREED with current pool at medium confidence , no change",Slot's Feyenoord: the 10 in 4-2-3-1; 15 league goals,batch_02_verified.csv
36905,169343,G. Til,2526,ERE,CAM,78,CAM,low,"AGREED with current pool at low confidence , no change",PSV advanced 8/10 box-crasher; spring half beyond reliable coverage,batch_02_verified.csv
778,147474,B. Cristante,1718,SA,CAM,77,CAM,low,"AGREED with current pool at low confidence , no change","Gasperini's 3-4-1-2: rotated between the 10 slot and the central pair - advanced plurality in his 9-goal season, close call",batch_02_verified.csv
744,146544,Brahim Díaz,2021,SA,CAM,66,CAM,low,"AGREED with current pool at low confidence , no change","Milan: 10/RW rotation behind Ibrahimovic - split, thin",batch_02_verified.csv
744,146110,Brahim Díaz,2122,SA,CAM,63,CAM,medium,"AGREED with current pool at medium confidence , no change",Took the no.10 shirt and the starting 10 role in the first half of Milan's Scudetto season,batch_02_verified.csv
118,159700,Gelson Martins,1819,L1,Winger,64,Winger,medium,"AGREED with current pool at medium confidence , no change","Monaco RW (1393 min, chaotic season)",batch_02_verified.csv
118,159282,Gelson Martins,1920,L1,Winger,60,Winger,medium,"AGREED with current pool at medium confidence , no change",Monaco RW,batch_02_verified.csv
118,158854,Gelson Martins,2021,L1,Winger,59,Winger,medium,"AGREED with current pool at medium confidence , no change",Monaco RW/wing-back share under Kovac,batch_02_verified.csv
49857,184340,İ. Kahveci,1617,TR,CAM,40,CAM,low,"AGREED with current pool at low confidence , no change","NOTE: 16/17 he was at Genclerbirligi, not Basaksehir - club field looks wrong; played CM/AM there (969 min)",batch_02_verified.csv
49857,183961,İ. Kahveci,1718,TR,CAM,34,CAM,low,"AGREED with current pool at low confidence , no change",First Basaksehir season: 1170 rotation minutes across CM/AM,batch_02_verified.csv
49857,182311,İ. Kahveci,2122,TR,CAM,60,CAM,low,"AGREED with current pool at low confidence , no change",Fener rotation across AM/CM/RW - no clean majority,batch_02_verified.csv
49857,181927,İ. Kahveci,2223,TR,CAM,51,CAM,low,"AGREED with current pool at low confidence , no change",Same rotation profile,batch_02_verified.csv
49857,181517,İ. Kahveci,2324,TR,CAM,77,CAM,low,"AGREED with current pool at low confidence , no change","Best Fener season (12G/7A) but role rotated AM/RW/CM under Kartal - advanced plurality, split",batch_02_verified.csv
900,132502,J. Lingard,2021,PL,CAM,77,CAM,medium,"AGREED with current pool at medium confidence , no change",West Ham loan: attacking-mid band (often left) in Moyes's 4-2-3-1; 9 goals,batch_02_verified.csv
36927,171391,Z. Flemming,2021,ERE,CAM,77,CAM,medium,"AGREED with current pool at medium confidence , no change",Fortuna Sittard's 10/second striker; 12-goal season,batch_02_verified.csv
2849,167554,Bryan Jafet Ruiz González,1516,PRT,CAM,76,CAM,medium,"AGREED with current pool at medium confidence , no change",Jorge Jesus: the 10/free creator (8G/12A),batch_02_verified.csv
2849,167172,Bryan Jafet Ruiz González,1617,PRT,CAM,52,CAM,low,"AGREED with current pool at low confidence , no change","Reduced role, same creator profile (2087 min)",batch_02_verified.csv
2849,166791,Bryan Jafet Ruiz González,1718,PRT,CAM,41,CAM,low,"AGREED with current pool at low confidence , no change",1015 min; 10/wide rotation,batch_02_verified.csv
105581,176451,D. Hotić,2122,BPL,CAM,76,CAM,low,"AGREED with current pool at low confidence , no change",Cercle's right-sided attacking mid per Belgian coverage (7G/10A) - AM/RW split,batch_02_verified.csv
1321,158578,L. Majer,2122,L1,CAM,76,CAM,medium,"AGREED with current pool at medium confidence , no change",Rennes's playmaker: advanced 8/10 under Genesio,batch_02_verified.csv
