player_name,season,league_code,api_player_id,card_id,proposed_position,current_pool,rt,agree_or_disagree,confidence,hold_reason,source_used,evidence
A. Ljajić,1617,SA,2002,148293,CAM,CAM,84,PARTIAL - ambiguous CAM/Winger,low,partial / genuinely split season,Serie A season records,Mihajlović's Torino mostly 4-3-3 with Ljajić as left forward/trequartista; also 4-3-1-2 spells with him at the tip - genuine split
Bernardo Silva,1920,PL,636,132801,Winger,CAM,80,PARTIAL - ambiguous Winger/CM,low,partial / genuinely split season,NamuWiki playing-style history + season records,Pushed to left CM after KDB's return then benched; recovered minutes across both wings and both CM slots - no clean majority role
C. Baumgartner,2526,BL,715,150901,CAM,CAM,85,AGREE,low,"live season, second half unverifiable + one player, season split across 2 leagues",Bundesliga records (Aug-Jan) only,10/SS under Werner in first half of season; second half post-dates verifiable coverage here - low confidence
C. Baumgartner,2526,PL,715,108835,CAM,ST,44,AGREE,low,"live season, second half unverifiable + one player, season split across 2 leagues",Bundesliga records (Aug-Jan) only,10/SS under Werner in first half of season; second half post-dates verifiable coverage here - low confidence
D. Alli,1516,PL,172,134782,CM,CAM,86,DISAGREE (pass1 CAM),low,passes disagreed,PL season records,Early 15/16 Alli in double pivot beside Dier with Eriksen occupying the 10; advanced only later - CM lean but genuinely ambiguous CM/CAM
Giuliano,1718,TR,44317,184247,Winger,CAM,81,PARTIAL - ambiguous Winger/CAM,low,partial / genuinely split season,Transfermarkt profile + Fener season records,TM classes him Attacking Midfield; Kocaman's 4-2-3-1 deployed him wide-right with Valbuena left and Souza/Neto pivot - right-AM/RW split
I. Saibari,2526,ERE,161897,169346,CAM,CAM,82,AGREE,low,"live season, second half unverifiable",Eredivisie records (Aug-Jan),More advanced role in first half of season; second half post-dates verifiable coverage
J. Brandt,1819,BL,984,153555,CAM,CAM,83,AGREE - flagged 3-way split,low,"agreed but season split, share too close",Bundesliga season records,Wide under Herrlich then central 8 under Bosz from Jan - LW/CM/AM three-way split with no clean majority
J. Lingard,1718,PL,900,133661,CAM,CAM,81,AGREE - flagged split,low,"agreed but season split, share too close",PL season records,Mourinho rotated him 10/RW/RM; famous Dec-2017 purple patch came centrally - CAM/RW near-split
J. Rodríguez,1516,PL,19169,134495,CAM,NR,14,AGREE - flagged split,low,"agreed but season split, share too close + display name maps to 3 different api_player_ids, candidates listed",La Liga season records,Benítez used him right AM/RW; Zidane rotated him - CAM/Winger split
J. Rodríguez,1516,LL,2616,141408,CAM,NR,18,AGREE - flagged split,low,"agreed but season split, share too close + display name maps to 3 different api_player_ids, candidates listed",La Liga season records,Benítez used him right AM/RW; Zidane rotated him - CAM/Winger split
J. Rodríguez,1516,LL,517,141576,CAM,CAM,81,AGREE - flagged split,low,"agreed but season split, share too close + display name maps to 3 different api_player_ids, candidates listed",La Liga season records,Benítez used him right AM/RW; Zidane rotated him - CAM/Winger split
