api_player_id,card_id,player_name,season,league_code,current_pool,rt,proposed_position,confidence,hold_reason,evidence,source_batch
129718,137184,J. Bellingham,2526,LL,CM,73,CM,low,"AGREED with current pool at low confidence , no change",Confirms pool: advanced 8 under Xabi Alonso through the autumn; spring half beyond reliable coverage,bigclub_01_verified.csv
291964,137029,A. Güler,2526,LL,CM,76,CM,medium,"AGREED with current pool at medium confidence , no change",Confirms pool: Alonso moved Guler into central midfield as a deep creator (autumn coverage); spring unverifiable,bigclub_01_verified.csv
747,130520,Casemiro,2526,PL,CDM,82,CDM,medium,"AGREED with current pool at medium confidence , no change","Confirms pool: deep pivot under Amorim/Carrick; autumn-verified, spring beyond coverage",bigclub_01_verified.csv
340626,137873,Fermín,2324,LL,CM,70,CM,low,"AGREED with current pool at low confidence , no change",Confirms pool: broke in as Xavi's interior 8,bigclub_01_verified.csv
108,142772,Cesc Fàbregas,1213,LL,CM,78,CM,medium,"AGREED with current pool at medium confidence , no change",Confirms pool: Tito's interior with some false-9 spells,bigclub_01_verified.csv
108,134065,Cesc Fàbregas,1617,PL,CDM,85,CDM,medium,"AGREED with current pool at medium confidence , no change",Confirms pool: deep playmaker in Conte's central two (with Kante/Matic) - CDM/CM boundary,bigclub_01_verified.csv
151,139731,A. Vidal,1920,LL,CM,77,CM,medium,"AGREED with current pool at medium confidence , no change",Confirmed: box-to-box 8,bigclub_01_verified.csv
151,140150,A. Vidal,1819,LL,CM,76,CM,medium,"AGREED with current pool at medium confidence , no change",Confirmed: 8,bigclub_01_verified.csv
151,154165,A. Vidal,1718,BL,CM,70,CM,medium,"AGREED with current pool at medium confidence , no change",Confirmed: Heynckes's 8,bigclub_01_verified.csv
633,138059,İ. Gündoğan,2324,LL,CM,75,CM,medium,"AGREED with current pool at medium confidence , no change",Confirms pool: Xavi's 8 (some advanced use),bigclub_01_verified.csv
633,132342,İ. Gündoğan,2122,PL,CM,80,CM,medium,"AGREED with current pool at medium confidence , no change",Confirms pool: advanced 8 rotating with Bernardo (Rodri anchor),bigclub_01_verified.csv
633,133554,İ. Gündoğan,1819,PL,CM,75,CM,medium,"AGREED with current pool at medium confidence , no change",Confirms pool: 8 plus holding cover during Fernandinho's absences,bigclub_01_verified.csv
133609,136994,Pedri,2526,LL,CDM,74,CDM,low,"AGREED with current pool at low confidence , no change",Confirms pool: double pivot with de Jong in Flick's 4-2-3-1 (autumn coverage) - CDM/CM boundary; spring unverifiable,bigclub_01_verified.csv
511,153623,L. Goretzka,1819,BL,CM,78,CM,medium,"AGREED with current pool at medium confidence , no change",Confirms pool: Kovac's box-to-box 8,bigclub_02_verified.csv
511,151848,L. Goretzka,2324,BL,CDM,76,CDM,medium,"AGREED with current pool at medium confidence , no change",Confirms pool: Kimmich-Goretzka double pivot under Tuchel,bigclub_02_verified.csv
511,153256,L. Goretzka,1920,BL,CDM,74,CDM,medium,"AGREED with current pool at medium confidence , no change",Confirms pool: Flick's double pivot from Nov (some 8 early under Kovac),bigclub_02_verified.csv
502,153254,J. Kimmich,1920,BL,CDM,72,CDM,medium,"AGREED with current pool at medium confidence , no change","Confirms pool: RB under Kovac until Nov, then Flick's 6 - CDM plurality across the season",bigclub_02_verified.csv
2291,130771,M. Kovačić,2425,PL,CDM,75,CDM,medium,"AGREED with current pool at medium confidence , no change",Confirms pool: frequently deputised at the 6 after Rodri's ACL; also 8,bigclub_02_verified.csv
2291,131986,M. Kovačić,2122,PL,CDM,70,CDM,medium,"AGREED with current pool at medium confidence , no change",Confirms pool: one of the central two in Tuchel's 3-4-3 (with Jorginho/Kante) - CDM/CM boundary,bigclub_02_verified.csv
636,131584,Bernardo Silva,2223,PL,CM,73,CM,low,"AGREED with current pool at low confidence , no change","Rotated 8/LW/RW through the treble season - central plurality slight, no clean majority",bigclub_02_verified.csv
636,130770,Bernardo Silva,2425,PL,CM,70,CM,low,"AGREED with current pool at low confidence , no change",Confirms pool: central plurality with wide stints in the aging squad,bigclub_02_verified.csv
636,132394,Bernardo Silva,2021,PL,CM,70,CM,medium,"AGREED with current pool at medium confidence , no change",Confirms pool: 8 in the title side (Gundogan the advanced runner),bigclub_02_verified.csv
