card_id,api_player_id,player_name,season,current_pool,verified_position,confidence,evidence
160416,1917,M. Balotelli,1718,ST,ST,high,"CONFIRM: Favre's 9 at Nice; 18 league goals as the central striker"
158726,24288,M. Bayo,2122,ST,ST,medium,"CONFIRM: Clermont's first-choice 9 in their debut L1 season"
159916,667,M. Depay,1819,ST,ST,medium,"CONFIRM: Genesio used him as the (false) 9 for most of 18/19 with Traoré/Cornet wide and Dembélé rotating — wide spells the minority"
183143,19511,M. Diouf,2021,Winger,ST,medium,"CORRECTION: veteran target-9 in Hatayspor's front with Boupendza as the wide-left forward — pool's Winger is wrong"
151642,25464,M. Ducksch,2324,ST,ST,high,"CONFIRM: Bremen's lead 9 post-Füllkrug; 12G/9A"
140415,2060,M. El Haddadi,1718,ST,ST,low,"CONFIRM narrowly: loan season as a forward with real wide share — CF plurality, close"
130947,18746,M. Gibbs-White,2425,CM,CAM,high,"CORRECTION: Nuno's fixed 10 behind Wood (Elanga/Hudson-Odoi wide) in the settled 4-2-3-1"
153886,25329,M. Kruse,1819,ST,ST,medium,"CONFIRM: Kohfeldt's CF/withdrawn striker, captain and pen-taker"
131156,15911,M. Kudus,2324,CM,Winger,medium,"CORRECTION: RW in Moyes's 4-2-3-1 (Bowen central/right rotation), with some 10 — wide plurality; pool's CM is wrong"
133460,909,M. Rashford,1819,ST,ST,low,"CONFIRM narrowly: wide under Mourinho to Dec, then Solskjær's 9 (Lukaku benched) — CF plurality, genuinely close; fills the one season missing from his earlier cards"
130892,19170,M. Rogers,2425,Winger,CAM,medium,"CORRECTION: breakout as Emery's 10, with left-of-front spells — advanced-central plurality"
187377,42315,M. Taremi,2021,ST,ST,high,"CONFIRM: front two beside Marega at Porto; 17 goals"
148677,32138,Massimo Maccarone,1516,,ST,medium,"ASSIGNED (blank pool): front-two 9 in Giampaolo's 4-3-1-2 at Empoli; 13 goals"
159395,276,Neymar,1920,Winger,Winger,medium,"CONFIRM: left of Tuchel's front (4-4-2/4-3-3) in a free role; 1322 injury-limited min"
134347,2295,O. Giroud,1617,Winger,ST,high,"CORRECTION: Arsenal's 9 (largely super-sub, 1195 min) — pool's Winger is plainly wrong"
145654,2295,O. Giroud,2223,ST,ST,high,"CONFIRM: Pioli's CF"
131480,18970,P. Groß,2324,CDM,CDM,medium,"CONFIRM: De Zerbi's double pivot (occasional RB fill-in)"
133878,18970,P. Groß,1718,ST,CAM,high,"CORRECTION: Hughton's 10 in the 4-4-1-1 (7G/8A debut PL season) — pool's ST is wrong"
146206,329,P. Zieliński,2021,CM,CAM,medium,"CORRECTION: Gattuso's 10 in the 4-2-3-1 for most of 20/21, with 8 spells — advanced plurality"
165807,41111,Paulinho,1920,ST,ST,medium,"CONFIRM: Braga's 9 (this Paulinho, by ID — not the Barcelona midfielder); 17 goals"
184349,9084,R. Bajić,1617,ST,ST,medium,"CONFIRM: Konyaspor's CF; 17 goals"
146355,2472,R. De Paul,2021,Winger,CM,high,"CORRECTION: captain mezzala-playmaker in Gotti's 3-5-2 — his final Udinese season was fully central; pool's Winger reflects earlier seasons"
131154,2413,Richarlison,2324,ST,ST,medium,"CONFIRM: Spurs' 9 when fit (1510 min); Son covered CF only in his absences"
132805,2413,Richarlison,1920,ST,Winger,medium,"CORRECTION: LW under Ancelotti from Dec with Calvert-Lewin the 9; mixed under Silva before — LW plurality (consistent with his 1718/1819 cards)"
131877,302,Roberto Firmino,2223,ST,ST,medium,"CONFIRM: CF/false-9 rotation with Núñez (1212 min)"
139465,46666,Roberto Torres,1920,Winger,CAM,medium,"CORRECTION: Osasuna's captain media-punta in Arrasate's 4-2-3-1 (set-piece taker), with right-mid spells — advanced-central plurality"
131820,935,Rodrigo,2223,ST,ST,medium,"CONFIRM: led the line under Marsch/Gracia; 13 goals as the 9"
139956,47471,Roger,1819,ST,ST,medium,"CONFIRM: Roger Martí, Levante's penalty-box 9 (blank assists = missing, not zero)"
181270,20674,S. Banza,2425,ST,ST,medium,"CONFIRM: Trabzonspor's 9; 19 goals"
132607,19126,S. Dallas,2021,CDM,FB,low,"CORRECTION with flag: Bielsa rotated him RB/LB and CM week to week in the 8-goal season — genuine FB/CM split, FB plurality slight; pool's CDM fits neither"
153081,7722,S. Kalajdzic,2021,ST,ST,high,"CONFIRM: Stuttgart's target 9; 16 goals"
145548,1856,S. Milinković-Savić,2223,CM,CM,high,"CONFIRM: Sarri's mezzala (consistent with his 2021/2122 cards)"
147729,1856,S. Milinković-Savić,1718,CM,CM,high,"CONFIRM: advanced mezzala in Inzaghi's 3-5-1-1 — his 12-goal season came from central midfield"
140661,30515,S. Zaza,1718,ST,ST,high,"CONFIRM: front two with Rodrigo in Marcelino's 4-4-2"
140301,934,Santi Mina,1718,ST,ST,medium,"CONFIRM: front-two rotation in the same 4-4-2"
