api_player_id,card_id,player_name,season,league_code,current_pool,rt,proposed_position,confidence,hold_reason,evidence,source_batch
517,153851,J. Rodríguez,1819,BL,CM,74,CAM,low,"CHANGE proposed at low confidence , unresolved","1142 rotation min under Kovac split 10/8 - advanced plurality, close call",bigclub_01_verified.csv
756,137478,F. Valverde,2425,LL,CDM,71,CM,medium,"CHANGE proposed at medium confidence , unresolved",CORRECTION to pool (CDM): right 8 with emergency RB spells; Tchouameni held the anchor role,bigclub_01_verified.csv
340626,137012,Fermín,2526,LL,CM,80,CAM,low,"CHANGE proposed at low confidence , unresolved",CORRECTION to pool (CM): left-AM/10 slot in Flick's 4-2-3-1 (competing with Olmo) - advanced plurality; autumn only,bigclub_01_verified.csv
340626,137473,Fermín,2425,LL,CM,71,CAM,low,"CHANGE proposed at low confidence , unresolved",Same left-AM slot under Flick (1193 rotation min) - close with interior use,bigclub_01_verified.csv
633,131925,İ. Gündoğan,2223,PL,CM,80,CAM,medium,"CHANGE proposed at medium confidence , unresolved",CORRECTION to pool (CM): the other of the dual 10s beside De Bruyne in the treble season's 3-2-4-1 (Rodri+Stones the pivot),bigclub_01_verified.csv
1323,137539,Dani Olmo,2425,LL,CM,74,CAM,medium,"CHANGE proposed at medium confidence , unresolved",CORRECTION to pool (CM): Flick's 10 amid the registration saga (1194 min),bigclub_01_verified.csv
142,140972,Rafinha,1617,LL,CM,72,Winger,low,"CHANGE proposed at low confidence , unresolved","1078 rotation min: RW cover for the MSN front plus interior spells - near split, wide plurality",bigclub_01_verified.csv
147,140238,Philippe Coutinho,1819,LL,CM,71,Winger,medium,"CHANGE proposed at medium confidence , unresolved",CORRECTION to pool (CM): mostly LW in Valverde's 4-3-3 with interior share,bigclub_01_verified.csv
147,153484,Philippe Coutinho,1920,BL,CDM,78,CAM,low,"CHANGE proposed at low confidence , unresolved","CORRECTION to pool (CDM): Kovac's 10, then LW/AM rotation under Flick - advanced plurality, close",bigclub_01_verified.csv
181812,152535,J. Musiala,2122,BL,CM,70,CAM,low,"CHANGE proposed at low confidence , unresolved","Mostly attacking mid; genuine deep-six experiment in spring 2022 (BFW coverage, cited earlier) - close call vs pool's CM",bigclub_01_verified.csv
502,152523,J. Kimmich,2122,BL,CM,74,CDM,medium,"CHANGE proposed at medium confidence , unresolved",CORRECTION to pool (CM): Nagelsmann's double pivot with Goretzka,bigclub_02_verified.csv
494131,150899,L. Karl,2526,BL,CM,70,Winger,low,"CHANGE proposed at low confidence , unresolved",CORRECTION to pool (CM): teenage breakout used mainly off the right wing/AM under Kompany (autumn coverage); spring unverifiable,bigclub_02_verified.csv
