card_id,api_player_id,player_name,season,current_pool,verified_position,confidence,evidence
172370,543,Z. Labyad,1718,ST,CAM,medium,"CORRECTION: Utrecht's 10/second striker under ten Hag then De Jong (11G/9A creating and finishing) — pool's ST overstates the role"
146133,30803,A. Barák,2122,Winger,CAM,medium,"CORRECTION: one of the dual 10s in Tudor's 3-4-2-1 behind Simeone — pool's Winger is wrong"
175834,129126,A. Bertaccini,2324,ST,ST,medium,"CONFIRM: STVV's 9; 18 goals"
148063,202,A. Candreva,1617,Winger,Winger,high,"CONFIRM: Pioli/de Boer's RW/RM; 10 assists from the right"
158761,21591,A. Delort,2122,Winger,ST,high,"CORRECTION: Galtier's 9 after the October move from Montpellier; 16 goals as the striker — pool's Winger is wrong"
172408,37930,A. El Khayati,1718,CM,CAM,high,"CORRECTION: ADO's classic 10 (11G/11A) — consistent with his 1819 card; pool's CM is wrong"
130692,153430,A. Elanga,2425,Winger,Winger,high,"CONFIRM: Forest's RW; 11 assists on the counter"
147860,2002,A. Ljajić,1718,CM,CAM,low,"CORRECTION: trequartista/left in Mihajlović's shifting 4-3-3/4-3-1-2 (6G/10A) — advanced plurality with wide share, consistent with his flagged 1617 card; pool's CM is wrong"
131549,6716,A. Mac Allister,2223,CM,CM,medium,"CONFIRM: 8/10 in De Zerbi's 4-2-3-1 — central plurality, penalty taker"
134476,908,A. Martial,1516,ST,Winger,low,"CORRECTION narrowly: CF in the autumn, LW after Rashford's February emergence — near split, wide plurality; consistent with his 1617/1718 Winger cards"
130761,19281,A. Semenyo,2425,Winger,Winger,high,"CONFIRM: Bournemouth's wide forward (L/R) in Iraola's 4-2-3-1"
131244,20589,B. Mbeumo,2324,Winger,Winger,medium,"CONFIRM: RW with some CF cover during Toney's ban — wide plurality"
131642,20589,B. Mbeumo,2223,Winger,Winger,high,"CONFIRM: Frank's RW beside Toney"
130697,1460,B. Saka,2425,Winger,Winger,high,"CONFIRM: Arteta's RW (hamstring-shortened, 1735 min)"
151580,115589,B. Šeško,2425,ST,ST,high,"CONFIRM: Leipzig's 9"
138401,47348,Borja Iglesias,2223,ST,ST,high,"CONFIRM: Pellegrini's 9 at Betis"
140007,47440,Brais Méndez,1819,CM,CAM,low,"CORRECTION: advanced mid/right-sided creator in Celta's coaching-carousel season — advanced plurality; pool's CM is wrong"
141378,3033,C. Bakambu,1516,,ST,high,"ASSIGNED (blank pool): Villarreal's 9 in the 4-4-2; 12 goals"
176634,147859,C. De Ketelaere,2122,ST,ST,low,"CONFIRM narrowly: (false) 9 for much of 21/22 but genuine CF/10 rotation at Brugge — real split, not forced"
187105,147859,C. De Ketelaere,2324,ST,CAM,medium,"CORRECTION: one of the dual 10s in Gasperini's 3-4-2-1 behind Scamacca (10G/8A) — pool's ST is wrong"
145702,1863,C. Immobile,2223,ST,ST,high,"CONFIRM: Sarri's 9/captain"
133093,17,C. Pulišić,1920,Winger,Winger,high,"CONFIRM: Lampard's LW"
138914,930,Carlos Soler,2122,CM,CM,medium,"CONFIRM: central/right mid under Bordalás — 11 goals heavy on penalties; consistent with his 2021 card"
166061,104,Carlos Vinícius,1920,ST,ST,high,"CONFIRM: Benfica's 9; 18 goals"
153903,410,D. Caligiuri,1718,CDM,FB,medium,"CORRECTION: right wing-back in Tedesco's 3-4-3 (10 assists from the flank) — pool's CDM is plainly wrong"
181739,332,D. Mertens,2324,ST,CAM,high,"CORRECTION: Buruk's 10 behind Icardi at Galatasaray — 16 assists as the playmaker; pool's ST is wrong"
154027,26307,Daniel Didavi,1718,CDM,CAM,medium,"CORRECTION: Wolfsburg's attacking mid in the relegation-playoff season — pool's CDM is plainly wrong"
133525,18809,Deulofeu,1819,ST,ST,low,"CONFIRM narrowly: front two beside Deeney in Gracia's 4-4-2 with wide-left spells — near split (his career arc: Winger 1718 → this split → CAM 2122)"
